name,gender
Mikazuki,boy
Orga,boy
Eugene,boy
Shino,boy
Biscuit,boy
Takaki,boy
Ride,boy
Dante,boy
Chad,boy
Yamagi,boy
McGillis,boy
Gaelio,boy
Ein,boy
Iok,boy
Vidar,boy
Naze,boy
Rustaboye,boy
Altra,girl
Kudelia,girl
Amida,girl
Lafter,girl
Eco,girl
Nadi,girl
Jasley,girl
Merribit,girl
Almiria,girl
Julieta,girl
Fumitan,girl
Mankanai,boy
Bael,boy
Agares,boy
Vassago,boy
Vassago,boy
Marbas,boy
Valefar,boy
Amon,boy
Barbatos,boy
Paimon,boy
Buer,boy
Gusion,boy
Sitri,boy
Beleth,boy
Leraje,boy
Eligos,boy
Zepar,boy
Botis,boy
Bathin,boy
Sallos,boy
Marax,boy
Orobas,boy
Bucon,boy
Astaroth,boy
Forneus,boy
Foras,boy
Asmoday,boy
Gaap,boy
Furfur,boy
Marchosias,boy
Stolas,boy
Phenex,boy
Halphas,boy
Malphas,boy
Raum,boy
Focalor,boy
Vepar,boy
Sabnock,boy
Shax,boy
Vine,boy
Bifrons,boy
Uvall,boy
Haagenti,boy
Crocell,boy
Furcas,boy
Balam,boy
Alloces,boy
Caim,boy
Murmur,boy
Orobas,boy
Gremory,girl 
ose,boy
Amy,girl
Oriax,boy
Vassago,boy
Ipos,boy
Achilles,boy
Dantalion,boy
Andromalius,boy
Lilim,girl
Flavros,boy
Glasya-Labolas,boy
Stygian,boy
Vassago,boy
Kali,girl
Amsala,girl
Hagiel,boy
Abaddon,boy
Baphomet,boy
Mephistopheles,boy
Beelzebub,boy
Lucifer,boy
Satan,boy
Baphomet,girl
Liam,boy
Noah,boy
Oliver,boy
James,boy
Elijah,boy
Mateo,boy
Theodore,boy
Henry,boy
Lucas,boy
William,boy
Benjamin,boy
Levi,boy
Sebastian,boy
Jack,boy
Ezra,boy
Michael,boy
Daniel,boy
Leo,boy
Owen,boy
Samuel,boy
Hudson,boy
Alexander,boy
Asher,boy
Luca,boy
Ethan,boy
John,boy
David,boy
Jackson,boy
Joseph,boy
Mason,boy
Luke,boy
Matthew,boy
Julian,boy
Dylan,boy
Elias,boy
Jacob,boy
Maverick,boy
Gabriel,boy
Logan,boy
Aiden,boy
Thomas,boy
Isaac,boy
Miles,boy
Grayson,boy
Santiago,boy
Anthony,boy
Wyatt,boy
Carter,boy
Jayden,boy
Ezekiel,boy
Caleb,boy
Cooper,boy
Josiah,boy
Charles,boy
Christopher,boy
Isaiah,boy
Nolan,boy
Cameron,boy
Nathan,boy
Joshua,boy
Kai,boy
Waylon,boy
Angel,boy
Lincoln,boy
Andrew,boy
Roman,boy
Adrian,boy
Aaron,boy
Wesley,boy
Ian,boy
Thiago,boy
Axel,boy
Brooks,boy
Bennett,boy
Weston,boy
Rowan,boy
Christian,boy
Theo,boy
Beau,boy
Eli,boy
Silas,boy
Jonathan,boy
Ryan,boy
Leonardo,boy
Walker,boy
Jaxon,boy
Micah,boy
Everett,boy
Robert,boy
Enzo,boy
Parker,boy
Jeremiah,boy
Jose,boy
Colton,boy
Luka,boy
Easton,boy
Landon,boy
Jordan,boy
Amir,boy
Gael,boy
Austin,boy
Adam,boy
Jameson,boy
August,boy
Xavier,boy
Myles,boy
Dominic,boy
Damian,boy
Nicholas,boy
Jace,boy
Carson,boy
Atlas,boy
Adriel,boy
Kayden,boy
Hunter,boy
River,boy
Greyson,boy
Emmett,boy
Harrison,boy
Vincent,boy
Milo,boy
Jasper,boy
Giovanni,boy
Jonah,boy
Zion,boy
Connor,boy
Sawyer,boy
Arthur,boy
Ryder,boy
Archer,boy
Lorenzo,boy
Declan,boy
Emiliano,boy
Luis,boy
Diego,boy
George,boy
Evan,boy
Jaxson,boy
Carlos,boy
Graham,boy
Juan,boy
Kingston,boy
Nathaniel,boy
Matteo,boy
Legend,boy
Malachi,boy
Jason,boy
Leon,boy
Dawson,boy
Bryson,boy
Amari,boy
Calvin,boy
Ivan,boy
Chase,boy
Cole,boy
Ashton,boy
Ace,boy
Arlo,boy
